Activity,Type,Start,Finish,Details
Sleep,,"2025-10-10, 12:30","2025-10-10, 13:25",pram
Feeding,Bottle,"2025-10-10, 12:15","2025-10-10, 13:45","187ml, formula"
Sleep,,"2025-10-10, 08:40","2025-10-10, 09:20",cot
Feeding,Bottle,"2025-10-10, 08:15","2025-10-10, 08:30","129ml, formula"
Feeding,Bottle,"2025-10-10, 06:50","2025-10-10, 07:20","129ml, formula"
Sleep,,"2025-10-09, 19:35","2025-10-10, 06:20",cot
Feeding,Bottle,"2025-10-09, 19:20","2025-10-09, 19:30","267ml, formula"
Feeding,Bottle,"2025-10-09, 16:00","2025-10-09, 16:30","186ml, formula"
Sleep,,"2025-10-09, 13:50","2025-10-09, 14:30",pram
Feeding,Bottle,"2025-10-09, 13:25","2025-10-09, 13:35","120ml, formula"
Sleep,,"2025-10-09, 10:20","2025-10-09, 10:50",cot
Feeding,Bottle,"2025-10-09, 10:10","2025-10-09, 10:20","153ml, formula"
Feeding,Bottle,"2025-10-09, 07:50","2025-10-09, 08:20","119ml, formula"
Feeding,Bottle,"2025-10-09, 02:00","2025-10-09, 02:10","218ml, formula"
Sleep,,"2025-10-08, 19:30","2025-10-09, 07:20",cot
Feeding,Bottle,"2025-10-08, 19:15","2025-10-08, 19:30","228ml, formula"
Feeding,Bottle,"2025-10-08, 15:30","2025-10-08, 16:15","173ml, formula"
Sleep,,"2025-10-08, 13:50","2025-10-08, 14:30",pram
Feeding,Bottle,"2025-10-08, 11:30","2025-10-08, 11:50","128ml, formula"
Sleep,,"2025-10-08, 10:45","2025-10-08, 11:20",cot
Feeding,Bottle,"2025-10-08, 08:20","2025-10-08, 08:40","158ml, formula"
Feeding,Bottle,"2025-10-08, 00:40","2025-10-08, 00:45","75ml, formula"
Sleep,,"2025-10-07, 19:50","2025-10-08, 07:55",cot
Feeding,Bottle,"2025-10-07, 19:15","2025-10-07, 19:30","201ml, formula"
Sleep,,"2025-10-07, 17:00","2025-10-07, 17:30",pram
Feeding,Bottle,"2025-10-07, 16:15","2025-10-07, 16:45","53ml, formula"
Feeding,Bottle,"2025-10-07, 13:05","2025-10-07, 14:05","122ml, formula"
Sleep,,"2025-10-07, 12:10","2025-10-07, 13:00",pram
Feeding,Bottle,"2025-10-07, 10:00","2025-10-07, 11:00","64ml, formula"
Sleep,,"2025-10-07, 08:35","2025-10-07, 09:05",cot
Feeding,Bottle,"2025-10-07, 06:10","2025-10-07, 06:40","150ml, formula"
Sleep,,"2025-10-06, 19:45","2025-10-07, 06:00",cot
Feeding,Bottle,"2025-10-06, 19:20","2025-10-06, 19:40","290ml, formula"
Feeding,Bottle,"2025-10-06, 17:05","2025-10-06, 17:15","157ml, formula"
Sleep,,"2025-10-06, 16:20","2025-10-06, 16:50",car
Feeding,Bottle,"2025-10-06, 14:25","2025-10-06, 14:45","161ml, formula"
Sleep,,"2025-10-06, 13:55","2025-10-06, 14:40",pram
Feeding,Bottle,"2025-10-06, 10:25","2025-10-06, 10:40","122ml, formula"
Sleep,,"2025-10-06, 09:35","2025-10-06, 10:15",cot
Feeding,Bottle,"2025-10-06, 07:10","2025-10-06, 07:30","155ml, formula"
Feeding,Bottle,"2025-10-05, 23:30","2025-10-05, 23:40","122ml, formula"
Sleep,,"2025-10-05, 19:35","2025-10-06, 07:00",cot
Feeding,Bottle,"2025-10-05, 19:20","2025-10-05, 19:30","197ml, formula"
Feeding,Bottle,"2025-10-05, 16:50","2025-10-05, 17:00","77ml, formula"
Feeding,Bottle,"2025-10-05, 14:15","2025-10-05, 14:35","161ml, formula"
Sleep,,"2025-10-05, 13:20","2025-10-05, 14:00",bus/pram
Feeding,Bottle,"2025-10-05, 10:40","2025-10-05, 11:00","126ml, formula"
Sleep,,"2025-10-05, 10:00","2025-10-05, 10:35",cot
Feeding,Bottle,"2025-10-05, 07:35","2025-10-05, 08:05","157ml, formula"
Feeding,Bottle,"2025-10-05, 02:20","2025-10-05, 02:40","197ml, formula"
Sleep,,"2025-10-04, 19:45","2025-10-05, 07:15",cot
Feeding,Bottle,"2025-10-04, 19:30","2025-10-04, 19:40","205ml, formula"
Feeding,Bottle,"2025-10-04, 16:50","2025-10-04, 17:00","114ml, formula"
Sleep,,"2025-10-04, 14:45","2025-10-04, 16:00",cot
Feeding,Bottle,"2025-10-04, 13:45","2025-10-04, 14:15","203ml, formula"
Sleep,,"2025-10-04, 11:00","2025-10-04, 11:30",pram
Feeding,Bottle,"2025-10-04, 10:05","2025-10-04, 10:15","172ml, formula"
Sleep,,"2025-10-04, 08:45","2025-10-04, 09:15",cot
Feeding,Bottle,"2025-10-04, 06:55","2025-10-04, 07:25","169ml, formula"
Feeding,Bottle,"2025-10-04, 02:40","2025-10-04, 02:45","169ml, formula"
Sleep,,"2025-10-03, 19:20","2025-10-04, 06:15",cot
Feeding,Bottle,"2025-10-03, 19:05","2025-10-03, 19:20","221ml, formula"
Sleep,,"2025-10-03, 18:00","2025-10-03, 18:05",pram
Feeding,Bottle,"2025-10-03, 17:00","2025-10-03, 17:15","138ml, formula"
Feeding,Bottle,"2025-10-03, 13:45","2025-10-03, 14:00","171ml, formula"
Sleep,,"2025-10-03, 12:40","2025-10-03, 13:30",pram
Feeding,Bottle,"2025-10-03, 10:20","2025-10-03, 10:30","201ml, formula"
Sleep,,"2025-10-03, 09:30","2025-10-03, 10:10",cot
Feeding,Bottle,"2025-10-03, 07:10","2025-10-03, 07:30","186ml, formula"
Feeding,Bottle,"2025-10-03, 01:35","2025-10-03, 01:40","214ml, formula"
Sleep,,"2025-10-02, 20:45","2025-10-03, 06:30",cot
Feeding,Bottle,"2025-10-02, 19:15","2025-10-02, 19:30","212ml, formula"
Sleep,,"2025-10-02, 17:35","2025-10-02, 18:05",pram
Feeding,Bottle,"2025-10-02, 16:35","2025-10-02, 17:05","132ml, formula"
Sleep,,"2025-10-02, 13:45","2025-10-02, 14:30",pram
Feeding,Bottle,"2025-10-02, 13:25","2025-10-02, 14:35","107ml, formula"
Feeding,Bottle,"2025-10-02, 10:30","2025-10-02, 10:50","141ml, formula"
Sleep,,"2025-10-02, 09:35","2025-10-02, 10:05",cot
Feeding,Bottle,"2025-10-02, 07:15","2025-10-02, 07:45","221ml, formula"
Feeding,Bottle,"2025-10-02, 01:50","2025-10-02, 02:00","148ml, formula"
Sleep,,"2025-10-01, 19:40","2025-10-02, 06:40",cot
Feeding,Bottle,"2025-10-01, 19:05","2025-10-01, 19:30","178ml, formula"
Sleep,,"2025-10-01, 18:05","2025-10-01, 18:15",pram
Feeding,Bottle,"2025-10-01, 16:25","2025-10-01, 17:05","213ml, formula"
Sleep,,"2025-10-01, 13:40","2025-10-01, 14:50",pram
Feeding,Bottle,"2025-10-01, 13:10","2025-10-01, 13:25","149ml, formula"
Feeding,Bottle,"2025-10-01, 10:15","2025-10-01, 10:45","170ml, formula"
Sleep,,"2025-10-01, 09:30","2025-10-01, 10:05",cot
Feeding,Bottle,"2025-10-01, 06:40","2025-10-01, 07:10","149ml, formula"
Feeding,Bottle,"2025-10-01, 00:05","2025-10-01, 00:10","153ml, formula"
Sleep,,"2025-09-30, 19:30","2025-10-01, 06:10",cot
Feeding,Bottle,"2025-09-30, 19:15","2025-09-30, 19:30","173ml, formula"
Feeding,Bottle,"2025-09-30, 17:00","2025-09-30, 17:10","202ml, formula"
Sleep,,"2025-09-30, 15:05","2025-09-30, 15:35",cot
Feeding,Bottle,"2025-09-30, 14:00","2025-09-30, 14:05","158ml, formula"
Feeding,Bottle,"2025-09-30, 10:40","2025-09-30, 11:10","170ml, formula"
Sleep,,"2025-09-30, 09:50","2025-09-30, 10:30",cot
Feeding,Bottle,"2025-09-30, 07:25","2025-09-30, 07:50","170ml, formula"
Feeding,Bottle,"2025-09-30, 01:50","2025-09-30, 02:00","184ml, formula"
Sleep,,"2025-09-29, 19:45","2025-09-30, 07:05",cot
Feeding,Bottle,"2025-09-29, 19:15","2025-09-29, 19:30","67ml, formula"
Feeding,Bottle,"2025-09-29, 17:35","2025-09-29, 17:40","154ml, formula"
Feeding,Bottle,"2025-09-29, 14:45","2025-09-29, 15:05","132ml, formula"
Sleep,,"2025-09-29, 13:30","2025-09-29, 14:10",pram
Feeding,Bottle,"2025-09-29, 11:00","2025-09-29, 11:20","172ml, formula"
Sleep,,"2025-09-29, 09:35","2025-09-29, 10:15",cot
Feeding,Bottle,"2025-09-29, 07:00","2025-09-29, 07:40","157ml, formula"
Feeding,Bottle,"2025-09-29, 03:35","2025-09-29, 03:45","144ml, formula"
Sleep,,"2025-09-28, 19:40","2025-09-29, 06:40",cot
Feeding,Bottle,"2025-09-28, 19:15","2025-09-28, 19:30","292ml, formula"
Feeding,Bottle,"2025-09-28, 16:20","2025-09-28, 17:00","186ml, formula"
Sleep,,"2025-09-28, 15:35","2025-09-28, 16:15",pram
Feeding,Bottle,"2025-09-28, 13:25","2025-09-28, 13:45","208ml, formula"
Sleep,,"2025-09-28, 12:40","2025-09-28, 13:15",cot
Feeding,Bottle,"2025-09-28, 10:05","2025-09-28, 10:20","173ml, formula"
Sleep,,"2025-09-28, 08:55","2025-09-28, 09:25",cot
Feeding,Bottle,"2025-09-28, 06:55","2025-09-28, 07:25","124ml, formula"
Feeding,Bottle,"2025-09-27, 23:55","2025-09-28, 00:05","213ml, formula"
Sleep,,"2025-09-27, 19:30","2025-09-28, 06:40",cot
Feeding,Bottle,"2025-09-27, 19:15","2025-09-27, 19:25","186ml, formula"
Feeding,Bottle,"2025-09-27, 17:10","2025-09-27, 17:40","92ml, formula"
Sleep,,"2025-09-27, 14:40","2025-09-27, 15:15",cot
Feeding,Bottle,"2025-09-27, 14:15","2025-09-27, 14:30","152ml, formula"
Feeding,Bottle,"2025-09-27, 11:40","2025-09-27, 12:10","147ml, formula"
Sleep,,"2025-09-27, 10:20","2025-09-27, 11:00",cot
Feeding,Bottle,"2025-09-27, 08:00","2025-09-27, 08:30","183ml, formula"
Feeding,Bottle,"2025-09-27, 00:55","2025-09-27, 01:05","176ml, formula"
Sleep,,"2025-09-26, 19:25","2025-09-27, 07:50",cot
Feeding,Bottle,"2025-09-26, 19:15","2025-09-26, 19:25","168ml, formula"
Feeding,Bottle,"2025-09-26, 16:55","2025-09-26, 17:00","186ml, formula"
Sleep,,"2025-09-26, 14:05","2025-09-26, 14:45",cot
Feeding,Bottle,"2025-09-26, 13:45","2025-09-26, 14:00","177ml, formula"
Feeding,Bottle,"2025-09-26, 10:55","2025-09-26, 11:05","117ml, formula"
Sleep,,"2025-09-26, 09:55","2025-09-26, 10:40",cot
Feeding,Bottle,"2025-09-26, 07:45","2025-09-26, 08:45","197ml, formula"
Sleep,,"2025-09-25, 20:10","2025-09-26, 07:35",cot
Feeding,Bottle,"2025-09-25, 19:15","2025-09-25, 19:30","232ml, formula"
Feeding,Bottle,"2025-09-25, 18:20","2025-09-25, 18:25","86ml, formula"
Sleep,,"2025-09-25, 17:10","2025-09-25, 17:40",car
Feeding,Bottle,"2025-09-25, 14:50","2025-09-25, 15:20","167ml, formula"
Sleep,,"2025-09-25, 13:50","2025-09-25, 14:30",pram
Feeding,Bottle,"2025-09-25, 11:10","2025-09-25, 12:10","131ml, formula"
Sleep,,"2025-09-25, 10:00","2025-09-25, 10:30",cot
Feeding,Bottle,"2025-09-25, 08:05","2025-09-25, 08:35","205ml, formula"
Feeding,Bottle,"2025-09-25, 04:15","2025-09-25, 04:25","166ml, formula"
Sleep,,"2025-09-24, 19:30","2025-09-25, 07:00",cot
Feeding,Bottle,"2025-09-24, 19:15","2025-09-24, 19:30","255ml, formula"
Feeding,Bottle,"2025-09-24, 17:05","2025-09-24, 17:10","80ml, formula"
Feeding,Bottle,"2025-09-24, 14:30","2025-09-24, 15:00","159ml, formula"
Sleep,,"2025-09-24, 13:20","2025-09-24, 14:25",car
Feeding,Bottle,"2025-09-24, 10:10","2025-09-24, 10:20","144ml, formula"
Sleep,,"2025-09-24, 09:15","2025-09-24, 10:00",cot
Feeding,Bottle,"2025-09-24, 06:35","2025-09-24, 07:05","141ml, formula"
Sleep,,"2025-09-23, 19:30","2025-09-24, 06:30",cot
Feeding,Bottle,"2025-09-23, 19:10","2025-09-23, 19:20","228ml, formula"
Feeding,Bottle,"2025-09-23, 17:10","2025-09-23, 17:25","161ml, formula"
Sleep,,"2025-09-23, 14:50","2025-09-23, 15:40",pram
Feeding,Bottle,"2025-09-23, 14:10","2025-09-23, 14:30","141ml, formula"
Feeding,Bottle,"2025-09-23, 11:10","2025-09-23, 11:20","180ml, formula"
Sleep,,"2025-09-23, 10:30","2025-09-23, 11:00",cot
Feeding,Bottle,"2025-09-23, 07:40","2025-09-23, 08:10","127ml, formula"
Feeding,Bottle,"2025-09-23, 02:00","2025-09-23, 02:05","145ml, formula"
Sleep,,"2025-09-22, 19:30","2025-09-23, 07:30",cot
Feeding,Bottle,"2025-09-22, 19:15","2025-09-22, 19:30","211ml, formula"
Feeding,Bottle,"2025-09-22, 15:40","2025-09-22, 16:10","203ml, formula"
Sleep,,"2025-09-22, 15:00","2025-09-22, 15:25",cot
Feeding,Bottle,"2025-09-22, 12:30","2025-09-22, 12:45","156ml, formula"
Sleep,,"2025-09-22, 10:40","2025-09-22, 11:20",cot
Feeding,Bottle,"2025-09-22, 09:10","2025-09-22, 09:30","145ml, formula"
Feeding,Bottle,"2025-09-22, 06:05","2025-09-22, 06:15","119ml, formula"
Feeding,Bottle,"2025-09-21, 23:00","2025-09-21, 23:10","102ml, formula"
Sleep,,"2025-09-21, 19:30","2025-09-22, 07:55",cot
Feeding,Bottle,"2025-09-21, 19:15","2025-09-21, 19:25","315ml, formula"
Sleep,,"2025-09-21, 16:35","2025-09-21, 17:10",pram
Feeding,Bottle,"2025-09-21, 14:45","2025-09-21, 15:15","159ml, formula"
Sleep,,"2025-09-21, 14:05","2025-09-21, 14:30",cot
Feeding,Bottle,"2025-09-21, 11:45","2025-09-21, 12:00","149ml, formula"
Sleep,,"2025-09-21, 10:15","2025-09-21, 10:45",pram
Feeding,Bottle,"2025-09-21, 07:40","2025-09-21, 07:50","168ml, formula"
Feeding,Bottle,"2025-09-21, 01:55","2025-09-21, 02:05","105ml, formula"
Sleep,,"2025-09-20, 19:40","2025-09-21, 07:30",cot
Feeding,Bottle,"2025-09-20, 19:15","2025-09-20, 19:30","264ml, formula"
Feeding,Bottle,"2025-09-20, 17:10","2025-09-20, 17:20","94ml, formula"
Sleep,,"2025-09-20, 16:30","2025-09-20, 17:00",pram
Feeding,Bottle,"2025-09-20, 13:55","2025-09-20, 14:25","168ml, formula"
Sleep,,"2025-09-20, 12:45","2025-09-20, 13:30",pram
Feeding,Bottle,"2025-09-20, 10:40","2025-09-20, 11:00","86ml, formula"
Sleep,,"2025-09-20, 10:00","2025-09-20, 10:15",cot
Feeding,Bottle,"2025-09-20, 07:20","2025-09-20, 08:20","216ml, formula"
Sleep,,"2025-09-19, 19:40","2025-09-20, 07:00",cot
Feeding,Bottle,"2025-09-19, 19:20","2025-09-19, 19:40","223ml, formula"
Feeding,Bottle,"2025-09-19, 17:05","2025-09-19, 17:15","116ml, formula"
Sleep,,"2025-09-19, 14:45","2025-09-19, 15:15",cot
Feeding,Bottle,"2025-09-19, 14:10","2025-09-19, 14:20","214ml, formula"
Feeding,Bottle,"2025-09-19, 11:15","2025-09-19, 11:30","156ml, formula"
Sleep,,"2025-09-19, 10:00","2025-09-19, 11:00",cot
Feeding,Bottle,"2025-09-19, 08:15","2025-09-19, 08:45","197ml, formula"
Feeding,Bottle,"2025-09-19, 05:05","2025-09-19, 05:15","153ml, formula"
Sleep,,"2025-09-18, 19:45","2025-09-19, 07:05",cot
Feeding,Bottle,"2025-09-18, 19:10","2025-09-18, 19:30","267ml, formula"
Feeding,Bottle,"2025-09-18, 17:10","2025-09-18, 17:25","142ml, formula"
Sleep,,"2025-09-18, 14:15","2025-09-18, 15:00",cot
Feeding,Bottle,"2025-09-18, 14:10","2025-09-18, 14:15","219ml, formula"
Feeding,Bottle,"2025-09-18, 11:20","2025-09-18, 11:40","150ml, formula"
Sleep,,"2025-09-18, 10:25","2025-09-18, 11:00",cot
Feeding,Bottle,"2025-09-18, 08:05","2025-09-18, 09:05","158ml, formula"
Feeding,Bottle,"2025-09-18, 03:25","2025-09-18, 03:35","160ml, formula"
Sleep,,"2025-09-17, 19:40","2025-09-18, 07:40",cot
Feeding,Bottle,"2025-09-17, 19:25","2025-09-17, 19:35","257ml, formula"
Feeding,Bottle,"2025-09-17, 18:05","2025-09-17, 18:20","151ml, formula"
Sleep,,"2025-09-17, 15:05","2025-09-17, 15:40",cot
Feeding,Bottle,"2025-09-17, 13:50","2025-09-17, 14:00","224ml, formula"
Feeding,Bottle,"2025-09-17, 10:35","2025-09-17, 11:35","111ml, formula"
Sleep,,"2025-09-17, 10:00","2025-09-17, 10:30",cot
Feeding,Bottle,"2025-09-17, 07:15","2025-09-17, 07:45","212ml, formula"
Sleep,,"2025-09-16, 20:00","2025-09-17, 07:00",cot
Feeding,Bottle,"2025-09-16, 19:20","2025-09-16, 19:30","308ml, formula"
Feeding,Bottle,"2025-09-16, 15:40","2025-09-16, 16:10","183ml, formula"
Sleep,,"2025-09-16, 14:40","2025-09-16, 15:20",pram
Feeding,Bottle,"2025-09-16, 11:25","2025-09-16, 11:55","147ml, formula"
Sleep,,"2025-09-16, 10:10","2025-09-16, 11:10",cot
Feeding,Bottle,"2025-09-16, 07:30","2025-09-16, 08:00","155ml, formula"
Feeding,Bottle,"2025-09-16, 03:25","2025-09-16, 03:35","210ml, formula"
Sleep,,"2025-09-15, 20:00","2025-09-16, 07:15",cot
Feeding,Bottle,"2025-09-15, 19:25","2025-09-15, 19:40","253ml, formula"
Feeding,Bottle,"2025-09-15, 18:15","2025-09-15, 18:36","89ml, formula"
Sleep,,"2025-09-15, 17:45","2025-09-15, 18:15",pram
Feeding,Bottle,"2025-09-15, 14:15","2025-09-15, 14:45","211ml, formula"
Sleep,,"2025-09-15, 13:25","2025-09-15, 14:00",pram
Feeding,Bottle,"2025-09-15, 10:35","2025-09-15, 10:55","203ml, formula"
Sleep,,"2025-09-15, 09:30","2025-09-15, 10:00",cot
Feeding,Bottle,"2025-09-15, 07:05","2025-09-15, 07:55","227ml, formula"
Sleep,,"2025-09-14, 19:50","2025-09-15, 06:50",cot
Feeding,Bottle,"2025-09-14, 19:20","2025-09-14, 19:40","265ml, formula"
Feeding,Bottle,"2025-09-14, 15:50","2025-09-14, 16:10","84ml, formula"
Feeding,Bottle,"2025-09-14, 12:40","2025-09-14, 12:50","179ml, formula"
Feeding,Bottle,"2025-09-14, 09:00","2025-09-14, 09:10","205ml, formula"
Feeding,Bottle,"2025-09-14, 05:45","2025-09-14, 06:00","223ml, formula"
Feeding,Bottle,"2025-09-13, 19:20","2025-09-13, 19:35","235ml, formula"
Feeding,Bottle,"2025-09-13, 15:55","2025-09-13, 16:00","170ml, formula"
Feeding,Bottle,"2025-09-13, 12:30","2025-09-13, 12:45","254ml, formula"
Feeding,Bottle,"2025-09-13, 09:00","2025-09-13, 09:10","189ml, formula"
Feeding,Bottle,"2025-09-13, 07:05","2025-09-13, 07:15","104ml, formula"
Feeding,Bottle,"2025-09-13, 01:25","2025-09-13, 01:35","183ml, formula"
Feeding,Bottle,"2025-09-12, 19:20","2025-09-12, 19:35","250ml, formula"
Feeding,Bottle,"2025-09-12, 16:25","2025-09-12, 16:40","142ml, formula"
Feeding,Bottle,"2025-09-12, 13:25","2025-09-12, 14:25","149ml, formula"
Feeding,Bottle,"2025-09-12, 10:15","2025-09-12, 10:45","160ml, formula"
Feeding,Bottle,"2025-09-12, 07:00","2025-09-12, 07:10","122ml, formula"
Feeding,Bottle,"2025-09-12, 02:05","2025-09-12, 02:20","157ml, formula"
Feeding,Bottle,"2025-09-11, 19:30","2025-09-11, 19:54","244ml, formula"
Feeding,Bottle,"2025-09-11, 17:20","2025-09-11, 17:50","157ml, formula"
Feeding,Bottle,"2025-09-11, 13:45","2025-09-11, 14:20","172ml, formula"
Feeding,Bottle,"2025-09-11, 10:15","2025-09-11, 10:45","83ml, formula"
Feeding,Bottle,"2025-09-11, 07:35","2025-09-11, 07:45","86ml, formula"
Feeding,Bottle,"2025-09-11, 02:35","2025-09-11, 02:45","148ml, formula"
Feeding,Bottle,"2025-09-10, 18:30","2025-09-10, 18:45","253ml, formula"
Feeding,Bottle,"2025-09-10, 16:20","2025-09-10, 16:25","161ml, formula"
Feeding,Bottle,"2025-09-10, 12:35","2025-09-10, 12:50","140ml, formula"
Feeding,Bottle,"2025-09-10, 09:05","2025-09-10, 09:20","102ml, formula"
Feeding,Bottle,"2025-09-10, 05:45","2025-09-10, 06:00","170ml, formula"
Feeding,Bottle,"2025-09-09, 18:25","2025-09-09, 18:35","216ml, formula"
Feeding,Bottle,"2025-09-09, 14:20","2025-09-09, 14:30","222ml, formula"
Feeding,Bottle,"2025-09-09, 10:00","2025-09-09, 10:15","166ml, formula"
Feeding,Bottle,"2025-09-09, 06:25","2025-09-09, 06:55","92ml, formula"
Feeding,Bottle,"2025-09-08, 21:25","2025-09-08, 21:35","161ml, formula"
Feeding,Bottle,"2025-09-08, 18:20","2025-09-08, 18:30","210ml, formula"
Feeding,Bottle,"2025-09-08, 14:30","2025-09-08, 14:45","169ml, formula"
Feeding,Bottle,"2025-09-08, 11:45","2025-09-08, 12:00","112ml, formula"
Feeding,Bottle,"2025-09-08, 10:45","2025-09-08, 10:50","28ml, formula"
Feeding,Bottle,"2025-09-08, 05:45","2025-09-08, 06:00","230ml, formula"
Feeding,Bottle,"2025-09-07, 23:00","2025-09-07, 23:10","120ml, formula"
Feeding,Bottle,"2025-09-07, 18:20","2025-09-07, 18:30","216ml, formula"
Feeding,Bottle,"2025-09-07, 15:40","2025-09-07, 16:00","68ml, formula"
Feeding,Bottle,"2025-09-07, 11:45","2025-09-07, 12:00","183ml, formula"
Feeding,Bottle,"2025-09-07, 09:10","2025-09-07, 09:40","161ml, formula"
Feeding,Bottle,"2025-09-07, 05:40","2025-09-07, 06:10","190ml, formula"
Feeding,Bottle,"2025-09-06, 23:35","2025-09-06, 23:50","124ml, formula"
Feeding,Bottle,"2025-09-06, 18:20","2025-09-06, 18:40","267ml, formula"
Feeding,Bottle,"2025-09-06, 15:10","2025-09-06, 15:20","101ml, formula"
Feeding,Bottle,"2025-09-06, 11:50","2025-09-06, 12:00","202ml, formula"
Feeding,Bottle,"2025-09-06, 08:00","2025-09-06, 08:15","206ml, formula"
Feeding,Bottle,"2025-09-06, 02:50","2025-09-06, 04:50","106ml, formula"
Feeding,Bottle,"2025-09-05, 22:35","2025-09-05, 22:40","159ml, formula"
Feeding,Bottle,"2025-09-05, 18:25","2025-09-05, 18:30","77ml, formula"
Feeding,Bottle,"2025-09-05, 15:45","2025-09-05, 15:50","167ml, formula"
Feeding,Bottle,"2025-09-05, 12:40","2025-09-05, 13:00","122ml, formula"
Feeding,Bottle,"2025-09-05, 08:45","2025-09-05, 08:55","147ml, formula"
Feeding,Bottle,"2025-09-05, 05:50","2025-09-05, 06:00","171ml, formula"
Feeding,Bottle,"2025-09-05, 00:20","2025-09-05, 00:50","146ml, formula"
Feeding,Bottle,"2025-09-04, 18:20","2025-09-04, 18:30","253ml, formula"
Feeding,Bottle,"2025-09-04, 16:15","2025-09-04, 17:15","31ml, formula"
Feeding,Bottle,"2025-09-04, 12:35","2025-09-04, 13:00","238ml, formula"
Feeding,Bottle,"2025-09-04, 09:25","2025-09-04, 10:25","164ml, formula"
Feeding,Bottle,"2025-09-04, 06:05","2025-09-04, 06:20","192ml, formula"
Feeding,Bottle,"2025-09-04, 01:30","2025-09-04, 01:40","70ml, formula"
Feeding,Bottle,"2025-09-03, 22:10","2025-09-03, 22:15","63ml, formula"
Feeding,Bottle,"2025-09-03, 18:30","2025-09-03, 19:00","281ml, formula"
Feeding,Bottle,"2025-09-03, 15:15","2025-09-03, 15:45","88ml, formula"
Feeding,Bottle,"2025-09-03, 12:00","2025-09-03, 12:30","134ml, formula"
Feeding,Bottle,"2025-09-03, 07:40","2025-09-03, 09:10","182ml, formula"
Feeding,Bottle,"2025-09-03, 01:15","2025-09-03, 01:25","187ml, formula"
Feeding,Bottle,"2025-09-02, 22:15","2025-09-02, 22:20","37ml, formula"
Feeding,Bottle,"2025-09-02, 18:45","2025-09-02, 18:50","131ml, formula"
Feeding,Bottle,"2025-09-02, 17:00","2025-09-02, 17:05","56ml, formula"
Feeding,Bottle,"2025-09-02, 13:30","2025-09-02, 14:00","87ml, formula"
Feeding,Bottle,"2025-09-02, 09:35","2025-09-02, 10:00","82ml, formula"
Feeding,Bottle,"2025-09-02, 06:25","2025-09-02, 07:25","81ml, formula"
Feeding,Bottle,"2025-09-01, 23:25","2025-09-01, 23:35","146ml, formula"
Feeding,Bottle,"2025-09-01, 18:35","2025-09-01, 18:50","163ml, formula"
Feeding,Bottle,"2025-09-01, 17:00","2025-09-01, 17:10","54ml, formula"
Feeding,Bottle,"2025-09-01, 14:00","2025-09-01, 14:09","69ml, formula"
Feeding,Bottle,"2025-09-01, 08:50","2025-09-01, 09:00","203ml, formula"
Feeding,Bottle,"2025-09-01, 06:05","2025-09-01, 06:20","109ml, formula"
Feeding,Bottle,"2025-09-01, 00:15","2025-09-01, 00:20","169ml, formula"
Feeding,Bottle,"2025-08-31, 22:25","2025-08-31, 22:45","126ml, formula"
Feeding,Bottle,"2025-08-31, 18:20","2025-08-31, 18:40","147ml, formula"
Feeding,Bottle,"2025-08-31, 15:40","2025-08-31, 16:20","61ml, formula"
Feeding,Bottle,"2025-08-31, 12:35","2025-08-31, 12:50","95ml, formula"
Feeding,Bottle,"2025-08-31, 08:55","2025-08-31, 09:25","112ml, formula"
Feeding,Bottle,"2025-08-31, 05:20","2025-08-31, 05:30","196ml, formula"
Feeding,Bottle,"2025-08-31, 01:40","2025-08-31, 01:50","165ml, formula"
Feeding,Bottle,"2025-08-30, 18:25","2025-08-30, 18:35","137ml, formula"
Feeding,Bottle,"2025-08-30, 15:55","2025-08-30, 16:10","55ml, formula"
Feeding,Bottle,"2025-08-30, 12:30","2025-08-30, 12:45","167ml, formula"
Feeding,Bottle,"2025-08-30, 08:50","2025-08-30, 09:00","189ml, formula"
Feeding,Bottle,"2025-08-30, 05:45","2025-08-30, 06:00","202ml, formula"
Feeding,Bottle,"2025-08-30, 01:05","2025-08-30, 01:15","133ml, formula"
Feeding,Bottle,"2025-08-29, 18:20","2025-08-29, 18:35","330ml, formula"
Feeding,Bottle,"2025-08-29, 16:30","2025-08-29, 16:40","31ml, formula"
Feeding,Bottle,"2025-08-29, 13:45","2025-08-29, 14:15","101ml, formula"
Feeding,Bottle,"2025-08-29, 10:40","2025-08-29, 10:50","92ml, formula"
Feeding,Bottle,"2025-08-29, 07:30","2025-08-29, 08:00","114ml, formula"
Feeding,Bottle,"2025-08-29, 03:25","2025-08-29, 03:35","180ml, formula"
Feeding,Bottle,"2025-08-28, 23:20","2025-08-28, 23:30","155ml, formula"
Feeding,Bottle,"2025-08-28, 18:30","2025-08-28, 19:00","268ml, formula"
Feeding,Bottle,"2025-08-28, 17:00","2025-08-28, 17:15","110ml, formula"
Feeding,Bottle,"2025-08-28, 14:15","2025-08-28, 14:20","136ml, formula"
Feeding,Bottle,"2025-08-28, 11:05","2025-08-28, 11:20","156ml, formula"
Feeding,Bottle,"2025-08-28, 07:30","2025-08-28, 08:00","106ml, formula"
Feeding,Bottle,"2025-08-28, 02:30","2025-08-28, 02:45","174ml, formula"
Feeding,Bottle,"2025-08-27, 18:30","2025-08-27, 18:45","251ml, formula"
Feeding,Bottle,"2025-08-27, 17:20","2025-08-27, 17:25","59ml, formula"
