Activity,Type,Start,Finish,Details,,,
Feeding,Bottle,"2025-10-13, 19:15","2025-10-13, 19:25","200ml, formula",,,200
Feeding,Bottle,"2025-10-13, 16:00","2025-10-13, 16:30","160ml, formula",,,160
Sleep,,"2025-10-13, 14:20","2025-10-13, 15:10",pram,,,pram
Feeding,Bottle,"2025-10-13, 12:40","2025-10-13, 14:10","150ml, formula",,,150
Sleep,,"2025-10-13, 10:10","2025-10-13, 10:50",cot,,,cot
Feeding,Bottle,"2025-10-13, 09:10","2025-10-13, 09:20","160ml, formula",,,160
Feeding,Bottle,"2025-10-13, 06:10","2025-10-13, 06:20","145ml, formula",,,145
Feeding,Bottle,"2025-10-13, 01:15","2025-10-13, 01:20","140ml, formula",,,140
Sleep,,"2025-10-12, 19:30","2025-10-13, 07:20",cot,,,cot
Feeding,Bottle,"2025-10-12, 19:10","2025-10-12, 19:30","195ml, formula",,,195
Feeding,Bottle,"2025-10-12, 16:30","2025-10-12, 16:40","150ml, formula",,,150
Sleep,,"2025-10-12, 14:05","2025-10-12, 14:50",cot,,,cot
Feeding,Bottle,"2025-10-12, 13:20","2025-10-12, 13:25","160ml, formula",,,160
Feeding,Bottle,"2025-10-12, 11:00","2025-10-12, 11:05","140ml, formula",,,140
Sleep,,"2025-10-12, 09:50","2025-10-12, 10:25",cot,,,cot
Feeding,Bottle,"2025-10-12, 07:40","2025-10-12, 08:10","160ml, formula",,,160
Feeding,Bottle,"2025-10-12, 02:35","2025-10-12, 02:45","140ml, formula",,,140
Sleep,,"2025-10-11, 19:15","2025-10-12, 07:15",cot,,,cot
Feeding,Bottle,"2025-10-11, 19:05","2025-10-11, 19:20","150ml, formula",,,150
Feeding,Bottle,"2025-10-11, 16:20","2025-10-11, 17:25","110ml, formula",,,110
Sleep,,"2025-10-11, 13:50","2025-10-11, 14:25",cot,,,cot
Feeding,Bottle,"2025-10-11, 13:10","2025-10-11, 13:30","160ml, formula",,,160
Sleep,,"2025-10-11, 09:40","2025-10-11, 10:40",cot,,,cot
Feeding,Bottle,"2025-10-11, 09:30","2025-10-11, 09:40","160ml, formula",,,160
Feeding,Bottle,"2025-10-11, 07:30","2025-10-11, 08:00","95ml, formula",,,95
Feeding,Bottle,"2025-10-11, 03:00","2025-10-11, 03:10","160ml, formula",,,160
Sleep,,"2025-10-10, 20:10","2025-10-11, 07:15",cot,,,cot
Feeding,Bottle,"2025-10-10, 19:20","2025-10-10, 19:30","230ml, formula",,,230
Sleep,,"2025-10-10, 16:25","2025-10-10, 17:00",pram,,,pram
Feeding,Bottle,"2025-10-10, 16:00","2025-10-10, 17:10","160ml, formula",,,160
Sleep,,"2025-10-10, 12:30","2025-10-10, 13:25",pram,,,pram
Feeding,Bottle,"2025-10-10, 12:15","2025-10-10, 13:45","170ml, formula",,,170
Sleep,,"2025-10-10, 08:40","2025-10-10, 09:20",cot,,,cot
Feeding,Bottle,"2025-10-10, 08:15","2025-10-10, 08:30","140ml, formula",,,140
Feeding,Bottle,"2025-10-10, 06:50","2025-10-10, 07:20","110ml, formula",,,110
Sleep,,"2025-10-09, 19:35","2025-10-10, 06:20",cot,,,cot
Feeding,Bottle,"2025-10-09, 19:20","2025-10-09, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-10-09, 16:00","2025-10-09, 16:30","160ml, formula",,,160
Sleep,,"2025-10-09, 13:50","2025-10-09, 14:30",pram,,,pram
Feeding,Bottle,"2025-10-09, 13:25","2025-10-09, 13:35","90ml, formula",,,90
Sleep,,"2025-10-09, 10:20","2025-10-09, 10:50",cot,,,cot
Feeding,Bottle,"2025-10-09, 10:10","2025-10-09, 10:20","155ml, formula",,,155
Feeding,Bottle,"2025-10-09, 07:50","2025-10-09, 08:20","100ml, formula",,,100
Feeding,Bottle,"2025-10-09, 02:00","2025-10-09, 02:10","160ml, formula",,,160
Sleep,,"2025-10-08, 19:30","2025-10-09, 07:20",cot,,,cot
Feeding,Bottle,"2025-10-08, 19:15","2025-10-08, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-10-08, 15:30","2025-10-08, 16:15","130ml, formula",,,130
Sleep,,"2025-10-08, 13:50","2025-10-08, 14:30",pram,,,pram
Feeding,Bottle,"2025-10-08, 11:30","2025-10-08, 11:50","110ml, formula",,,110
Sleep,,"2025-10-08, 10:45","2025-10-08, 11:20",cot,,,cot
Feeding,Bottle,"2025-10-08, 08:20","2025-10-08, 08:40","120ml, formula",,,120
Feeding,Bottle,"2025-10-08, 00:40","2025-10-08, 00:45","70ml, formula",,,70
Sleep,,"2025-10-07, 19:50","2025-10-08, 07:55",cot,,,cot
Feeding,Bottle,"2025-10-07, 19:15","2025-10-07, 19:30","170ml, formula",,,170
Sleep,,"2025-10-07, 17:00","2025-10-07, 17:30",pram,,,pram
Feeding,Bottle,"2025-10-07, 16:15","2025-10-07, 16:45","50ml, formula",,,50
Feeding,Bottle,"2025-10-07, 13:05","2025-10-07, 14:05","90ml, formula",,,90
Sleep,,"2025-10-07, 12:10","2025-10-07, 13:00",pram,,,pram
Feeding,Bottle,"2025-10-07, 10:00","2025-10-07, 11:00","70ml, formula",,,70
Sleep,,"2025-10-07, 08:35","2025-10-07, 09:05",cot,,,cot
Feeding,Bottle,"2025-10-07, 06:10","2025-10-07, 06:40","140ml, formula",,,140
Sleep,,"2025-10-06, 19:45","2025-10-07, 06:00",cot,,,cot
Feeding,Bottle,"2025-10-06, 19:20","2025-10-06, 19:40","210ml, formula",,,210
Feeding,Bottle,"2025-10-06, 17:05","2025-10-06, 17:15","145ml, formula",,,145
Sleep,,"2025-10-06, 16:20","2025-10-06, 16:50",car,,,car
Feeding,Bottle,"2025-10-06, 14:25","2025-10-06, 14:45","140ml, formula",,,140
Sleep,,"2025-10-06, 13:55","2025-10-06, 14:40",pram,,,pram
Feeding,Bottle,"2025-10-06, 10:25","2025-10-06, 10:40","130ml, formula",,,130
Sleep,,"2025-10-06, 09:35","2025-10-06, 10:15",cot,,,cot
Feeding,Bottle,"2025-10-06, 07:10","2025-10-06, 07:30","130ml, formula",,,130
Feeding,Bottle,"2025-10-05, 23:30","2025-10-05, 23:40","110ml, formula",,,110
Sleep,,"2025-10-05, 19:35","2025-10-06, 07:00",cot,,,cot
Feeding,Bottle,"2025-10-05, 19:20","2025-10-05, 19:30","160ml, formula",,,160
Feeding,Bottle,"2025-10-05, 16:50","2025-10-05, 17:00","70ml, formula",,,70
Feeding,Bottle,"2025-10-05, 14:15","2025-10-05, 14:35","140ml, formula",,,140
Sleep,,"2025-10-05, 13:20","2025-10-05, 14:00",bus/pram,,,bus/pram
Feeding,Bottle,"2025-10-05, 10:40","2025-10-05, 11:00","120ml, formula",,,120
Sleep,,"2025-10-05, 10:00","2025-10-05, 10:35",cot,,,cot
Feeding,Bottle,"2025-10-05, 07:35","2025-10-05, 08:05","135ml, formula",,,135
Feeding,Bottle,"2025-10-05, 02:20","2025-10-05, 02:40","160ml, formula",,,160
Sleep,,"2025-10-04, 19:45","2025-10-05, 07:15",cot,,,cot
Feeding,Bottle,"2025-10-04, 19:30","2025-10-04, 19:40","190ml, formula",,,190
Feeding,Bottle,"2025-10-04, 16:50","2025-10-04, 17:00","90ml, formula",,,90
Sleep,,"2025-10-04, 14:45","2025-10-04, 16:00",cot,,,cot
Feeding,Bottle,"2025-10-04, 13:45","2025-10-04, 14:15","150ml, formula",,,150
Sleep,,"2025-10-04, 11:00","2025-10-04, 11:30",pram,,,pram
Feeding,Bottle,"2025-10-04, 10:05","2025-10-04, 10:15","130ml, formula",,,130
Sleep,,"2025-10-04, 08:45","2025-10-04, 09:15",cot,,,cot
Feeding,Bottle,"2025-10-04, 06:55","2025-10-04, 07:25","130ml, formula",,,130
Feeding,Bottle,"2025-10-04, 02:40","2025-10-04, 02:45","130ml, formula",,,130
Sleep,,"2025-10-03, 19:20","2025-10-04, 06:15",cot,,,cot
Feeding,Bottle,"2025-10-03, 19:05","2025-10-03, 19:20","180ml, formula",,,180
Sleep,,"2025-10-03, 18:00","2025-10-03, 18:05",pram,,,pram
Feeding,Bottle,"2025-10-03, 17:00","2025-10-03, 17:15","150ml, formula",,,150
Feeding,Bottle,"2025-10-03, 13:45","2025-10-03, 14:00","160ml, formula",,,160
Sleep,,"2025-10-03, 12:40","2025-10-03, 13:30",pram,,,pram
Feeding,Bottle,"2025-10-03, 10:20","2025-10-03, 10:30","150ml, formula",,,150
Sleep,,"2025-10-03, 09:30","2025-10-03, 10:10",cot,,,cot
Feeding,Bottle,"2025-10-03, 07:10","2025-10-03, 07:30","150ml, formula",,,150
Feeding,Bottle,"2025-10-03, 01:35","2025-10-03, 01:40","160ml, formula",,,160
Sleep,,"2025-10-02, 20:45","2025-10-03, 06:30",cot,,,cot
Feeding,Bottle,"2025-10-02, 19:15","2025-10-02, 19:30","230ml, formula",,,230
Sleep,,"2025-10-02, 17:35","2025-10-02, 18:05",pram,,,pram
Feeding,Bottle,"2025-10-02, 16:35","2025-10-02, 17:05","120ml, formula",,,120
Sleep,,"2025-10-02, 13:45","2025-10-02, 14:30",pram,,,pram
Feeding,Bottle,"2025-10-02, 13:25","2025-10-02, 14:35","80ml, formula",,,80
Feeding,Bottle,"2025-10-02, 10:30","2025-10-02, 10:50","145ml, formula",,,145
Sleep,,"2025-10-02, 09:35","2025-10-02, 10:05",cot,,,cot
Feeding,Bottle,"2025-10-02, 07:15","2025-10-02, 07:45","160ml, formula",,,160
Feeding,Bottle,"2025-10-02, 01:50","2025-10-02, 02:00","145ml, formula",,,145
Sleep,,"2025-10-01, 19:40","2025-10-02, 06:40",cot,,,cot
Feeding,Bottle,"2025-10-01, 19:05","2025-10-01, 19:30","180ml, formula",,,180
Sleep,,"2025-10-01, 18:05","2025-10-01, 18:15",pram,,,pram
Feeding,Bottle,"2025-10-01, 16:25","2025-10-01, 17:05","160ml, formula",,,160
Sleep,,"2025-10-01, 13:40","2025-10-01, 14:50",pram,,,pram
Feeding,Bottle,"2025-10-01, 13:10","2025-10-01, 13:25","110ml, formula",,,110
Feeding,Bottle,"2025-10-01, 10:15","2025-10-01, 10:45","160ml, formula",,,160
Sleep,,"2025-10-01, 09:30","2025-10-01, 10:05",cot,,,cot
Feeding,Bottle,"2025-10-01, 06:40","2025-10-01, 07:10","150ml, formula",,,150
Feeding,Bottle,"2025-10-01, 00:05","2025-10-01, 00:10","140ml, formula",,,140
Sleep,,"2025-09-30, 19:30","2025-10-01, 06:10",cot,,,cot
Feeding,Bottle,"2025-09-30, 19:15","2025-09-30, 19:30","180ml, formula",,,180
Feeding,Bottle,"2025-09-30, 17:00","2025-09-30, 17:10","160ml, formula",,,160
Sleep,,"2025-09-30, 15:05","2025-09-30, 15:35",cot,,,cot
Feeding,Bottle,"2025-09-30, 14:00","2025-09-30, 14:05","160ml, formula",,,160
Feeding,Bottle,"2025-09-30, 10:40","2025-09-30, 11:10","150ml, formula",,,150
Sleep,,"2025-09-30, 09:50","2025-09-30, 10:30",cot,,,cot
Feeding,Bottle,"2025-09-30, 07:25","2025-09-30, 07:50","145ml, formula",,,145
Feeding,Bottle,"2025-09-30, 01:50","2025-09-30, 02:00","160ml, formula",,,160
Sleep,,"2025-09-29, 19:45","2025-09-30, 07:05",cot,,,cot
Feeding,Bottle,"2025-09-29, 19:15","2025-09-29, 19:30","50ml, formula",,,50
Feeding,Bottle,"2025-09-29, 17:35","2025-09-29, 17:40","145ml, formula",,,145
Feeding,Bottle,"2025-09-29, 14:45","2025-09-29, 15:05","140ml, formula",,,140
Sleep,,"2025-09-29, 13:30","2025-09-29, 14:10",pram,,,pram
Feeding,Bottle,"2025-09-29, 11:00","2025-09-29, 11:20","175ml, formula",,,175
Sleep,,"2025-09-29, 09:35","2025-09-29, 10:15",cot,,,cot
Feeding,Bottle,"2025-09-29, 07:00","2025-09-29, 07:40","140ml, formula",,,140
Feeding,Bottle,"2025-09-29, 03:35","2025-09-29, 03:45","160ml, formula",,,160
Sleep,,"2025-09-28, 19:40","2025-09-29, 06:40",cot,,,cot
Feeding,Bottle,"2025-09-28, 19:15","2025-09-28, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-09-28, 16:20","2025-09-28, 17:00","145ml, formula",,,145
Sleep,,"2025-09-28, 15:35","2025-09-28, 16:15",pram,,,pram
Feeding,Bottle,"2025-09-28, 13:25","2025-09-28, 13:45","160ml, formula",,,160
Sleep,,"2025-09-28, 12:40","2025-09-28, 13:15",cot,,,cot
Feeding,Bottle,"2025-09-28, 10:05","2025-09-28, 10:20","160ml, formula",,,160
Sleep,,"2025-09-28, 08:55","2025-09-28, 09:25",cot,,,cot
Feeding,Bottle,"2025-09-28, 06:55","2025-09-28, 07:25","120ml, formula",,,120
Feeding,Bottle,"2025-09-27, 23:55","2025-09-28, 00:05","160ml, formula",,,160
Sleep,,"2025-09-27, 19:30","2025-09-28, 06:40",cot,,,cot
Feeding,Bottle,"2025-09-27, 19:15","2025-09-27, 19:25","200ml, formula",,,200
Feeding,Bottle,"2025-09-27, 17:10","2025-09-27, 17:40","100ml, formula",,,100
Sleep,,"2025-09-27, 14:40","2025-09-27, 15:15",cot,,,cot
Feeding,Bottle,"2025-09-27, 14:15","2025-09-27, 14:30","150ml, formula",,,150
Feeding,Bottle,"2025-09-27, 11:40","2025-09-27, 12:10","140ml, formula",,,140
Sleep,,"2025-09-27, 10:20","2025-09-27, 11:00",cot,,,cot
Feeding,Bottle,"2025-09-27, 08:00","2025-09-27, 08:30","145ml, formula",,,145
Feeding,Bottle,"2025-09-27, 00:55","2025-09-27, 01:05","160ml, formula",,,160
Sleep,,"2025-09-26, 19:25","2025-09-27, 07:50",cot,,,cot
Feeding,Bottle,"2025-09-26, 19:15","2025-09-26, 19:25","170ml, formula",,,170
Feeding,Bottle,"2025-09-26, 16:55","2025-09-26, 17:00","140ml, formula",,,140
Sleep,,"2025-09-26, 14:05","2025-09-26, 14:45",cot,,,cot
Feeding,Bottle,"2025-09-26, 13:45","2025-09-26, 14:00","155ml, formula",,,155
Feeding,Bottle,"2025-09-26, 10:55","2025-09-26, 11:05","130ml, formula",,,130
Sleep,,"2025-09-26, 09:55","2025-09-26, 10:40",cot,,,cot
Feeding,Bottle,"2025-09-26, 07:45","2025-09-26, 08:45","160ml, formula",,,160
Sleep,,"2025-09-25, 20:10","2025-09-26, 07:35",cot,,,cot
Feeding,Bottle,"2025-09-25, 19:15","2025-09-25, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-09-25, 18:20","2025-09-25, 18:25","70ml, formula",,,70
Sleep,,"2025-09-25, 17:10","2025-09-25, 17:40",car,,,car
Feeding,Bottle,"2025-09-25, 14:50","2025-09-25, 15:20","150ml, formula",,,150
Sleep,,"2025-09-25, 13:50","2025-09-25, 14:30",pram,,,pram
Feeding,Bottle,"2025-09-25, 11:10","2025-09-25, 12:10","100ml, formula",,,100
Sleep,,"2025-09-25, 10:00","2025-09-25, 10:30",cot,,,cot
Feeding,Bottle,"2025-09-25, 08:05","2025-09-25, 08:35","155ml, formula",,,155
Feeding,Bottle,"2025-09-25, 04:15","2025-09-25, 04:25","160ml, formula",,,160
Sleep,,"2025-09-24, 19:30","2025-09-25, 07:00",cot,,,cot
Feeding,Bottle,"2025-09-24, 19:15","2025-09-24, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-09-24, 17:05","2025-09-24, 17:10","70ml, formula",,,70
Feeding,Bottle,"2025-09-24, 14:30","2025-09-24, 15:00","135ml, formula",,,135
Sleep,,"2025-09-24, 13:20","2025-09-24, 14:25",car,,,car
Feeding,Bottle,"2025-09-24, 10:10","2025-09-24, 10:20","150ml, formula",,,150
Sleep,,"2025-09-24, 09:15","2025-09-24, 10:00",cot,,,cot
Feeding,Bottle,"2025-09-24, 06:35","2025-09-24, 07:05","150ml, formula",,,150
Sleep,,"2025-09-23, 19:30","2025-09-24, 06:30",cot,,,cot
Feeding,Bottle,"2025-09-23, 19:10","2025-09-23, 19:20","200ml, formula",,,200
Feeding,Bottle,"2025-09-23, 17:10","2025-09-23, 17:25","125ml, formula",,,125
Sleep,,"2025-09-23, 14:50","2025-09-23, 15:40",pram,,,pram
Feeding,Bottle,"2025-09-23, 14:10","2025-09-23, 14:30","145ml, formula",,,145
Feeding,Bottle,"2025-09-23, 11:10","2025-09-23, 11:20","155ml, formula",,,155
Sleep,,"2025-09-23, 10:30","2025-09-23, 11:00",cot,,,cot
Feeding,Bottle,"2025-09-23, 07:40","2025-09-23, 08:10","130ml, formula",,,130
Feeding,Bottle,"2025-09-23, 02:00","2025-09-23, 02:05","120ml, formula",,,120
Sleep,,"2025-09-22, 19:30","2025-09-23, 07:30",cot,,,cot
Feeding,Bottle,"2025-09-22, 19:15","2025-09-22, 19:30","165ml, formula",,,165
Feeding,Bottle,"2025-09-22, 15:40","2025-09-22, 16:10","160ml, formula",,,160
Sleep,,"2025-09-22, 15:00","2025-09-22, 15:25",cot,,,cot
Feeding,Bottle,"2025-09-22, 12:30","2025-09-22, 12:45","150ml, formula",,,150
Sleep,,"2025-09-22, 10:40","2025-09-22, 11:20",cot,,,cot
Feeding,Bottle,"2025-09-22, 09:10","2025-09-22, 09:30","145ml, formula",,,145
Feeding,Bottle,"2025-09-22, 06:05","2025-09-22, 06:15","100ml, formula",,,100
Feeding,Bottle,"2025-09-21, 23:00","2025-09-21, 23:10","110ml, formula",,,110
Sleep,,"2025-09-21, 19:30","2025-09-22, 07:55",cot,,,cot
Feeding,Bottle,"2025-09-21, 19:15","2025-09-21, 19:25","250ml, formula",,,250
Sleep,,"2025-09-21, 16:35","2025-09-21, 17:10",pram,,,pram
Feeding,Bottle,"2025-09-21, 14:45","2025-09-21, 15:15","150ml, formula",,,150
Sleep,,"2025-09-21, 14:05","2025-09-21, 14:30",cot,,,cot
Feeding,Bottle,"2025-09-21, 11:45","2025-09-21, 12:00","150ml, formula",,,150
Sleep,,"2025-09-21, 10:15","2025-09-21, 10:45",pram,,,pram
Feeding,Bottle,"2025-09-21, 07:40","2025-09-21, 07:50","140ml, formula",,,140
Feeding,Bottle,"2025-09-21, 01:55","2025-09-21, 02:05","110ml, formula",,,110
Sleep,,"2025-09-20, 19:40","2025-09-21, 07:30",cot,,,cot
Feeding,Bottle,"2025-09-20, 19:15","2025-09-20, 19:30","190ml, formula",,,190
Feeding,Bottle,"2025-09-20, 17:10","2025-09-20, 17:20","80ml, formula",,,80
Sleep,,"2025-09-20, 16:30","2025-09-20, 17:00",pram,,,pram
Feeding,Bottle,"2025-09-20, 13:55","2025-09-20, 14:25","140ml, formula",,,140
Sleep,,"2025-09-20, 12:45","2025-09-20, 13:30",pram,,,pram
Feeding,Bottle,"2025-09-20, 10:40","2025-09-20, 11:00","90ml, formula",,,90
Sleep,,"2025-09-20, 10:00","2025-09-20, 10:15",cot,,,cot
Feeding,Bottle,"2025-09-20, 07:20","2025-09-20, 08:20","230ml, formula",,,230
Sleep,,"2025-09-19, 19:40","2025-09-20, 07:00",cot,,,cot
Feeding,Bottle,"2025-09-19, 19:20","2025-09-19, 19:40","230ml, formula",,,230
Feeding,Bottle,"2025-09-19, 17:05","2025-09-19, 17:15","110ml, formula",,,110
Sleep,,"2025-09-19, 14:45","2025-09-19, 15:15",cot,,,cot
Feeding,Bottle,"2025-09-19, 14:10","2025-09-19, 14:20","155ml, formula",,,155
Feeding,Bottle,"2025-09-19, 11:15","2025-09-19, 11:30","130ml, formula",,,130
Sleep,,"2025-09-19, 10:00","2025-09-19, 11:00",cot,,,cot
Feeding,Bottle,"2025-09-19, 08:15","2025-09-19, 08:45","145ml, formula",,,145
Feeding,Bottle,"2025-09-19, 05:05","2025-09-19, 05:15","125ml, formula",,,125
Sleep,,"2025-09-18, 19:45","2025-09-19, 07:05",cot,,,cot
Feeding,Bottle,"2025-09-18, 19:10","2025-09-18, 19:30","210ml, formula",,,210
Feeding,Bottle,"2025-09-18, 17:10","2025-09-18, 17:25","130ml, formula",,,130
Sleep,,"2025-09-18, 14:15","2025-09-18, 15:00",cot,,,cot
Feeding,Bottle,"2025-09-18, 14:10","2025-09-18, 14:15","160ml, formula",,,160
Feeding,Bottle,"2025-09-18, 11:20","2025-09-18, 11:40","160ml, formula",,,160
Sleep,,"2025-09-18, 10:25","2025-09-18, 11:00",cot,,,cot
Feeding,Bottle,"2025-09-18, 08:05","2025-09-18, 09:05","160ml, formula",,,160
Feeding,Bottle,"2025-09-18, 03:25","2025-09-18, 03:35","160ml, formula",,,160
Sleep,,"2025-09-17, 19:40","2025-09-18, 07:40",cot,,,cot
Feeding,Bottle,"2025-09-17, 19:25","2025-09-17, 19:35","220ml, formula",,,220
Feeding,Bottle,"2025-09-17, 18:05","2025-09-17, 18:20","110ml, formula",,,110
Sleep,,"2025-09-17, 15:05","2025-09-17, 15:40",cot,,,cot
Feeding,Bottle,"2025-09-17, 13:50","2025-09-17, 14:00","160ml, formula",,,160
Feeding,Bottle,"2025-09-17, 10:35","2025-09-17, 11:35","110ml, formula",,,110
Sleep,,"2025-09-17, 10:00","2025-09-17, 10:30",cot,,,cot
Feeding,Bottle,"2025-09-17, 07:15","2025-09-17, 07:45","225ml, formula",,,225
Sleep,,"2025-09-16, 20:00","2025-09-17, 07:00",cot,,,cot
Feeding,Bottle,"2025-09-16, 19:20","2025-09-16, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-09-16, 15:40","2025-09-16, 16:10","150ml, formula",,,150
Sleep,,"2025-09-16, 14:40","2025-09-16, 15:20",pram,,,pram
Feeding,Bottle,"2025-09-16, 11:25","2025-09-16, 11:55","155ml, formula",,,155
Sleep,,"2025-09-16, 10:10","2025-09-16, 11:10",cot,,,cot
Feeding,Bottle,"2025-09-16, 07:30","2025-09-16, 08:00","155ml, formula",,,155
Feeding,Bottle,"2025-09-16, 03:25","2025-09-16, 03:35","150ml, formula",,,150
Sleep,,"2025-09-15, 20:00","2025-09-16, 07:15",cot,,,cot
Feeding,Bottle,"2025-09-15, 19:25","2025-09-15, 19:40","220ml, formula",,,220
Feeding,Bottle,"2025-09-15, 18:15","2025-09-15, 18:36","65ml, formula",,,65
Sleep,,"2025-09-15, 17:45","2025-09-15, 18:15",pram,,,pram
Feeding,Bottle,"2025-09-15, 14:15","2025-09-15, 14:45","155ml, formula",,,155
Sleep,,"2025-09-15, 13:25","2025-09-15, 14:00",pram,,,pram
Feeding,Bottle,"2025-09-15, 10:35","2025-09-15, 10:55","160ml, formula",,,160
Sleep,,"2025-09-15, 09:30","2025-09-15, 10:00",cot,,,cot
Feeding,Bottle,"2025-09-15, 07:05","2025-09-15, 07:55","220ml, formula",,,220
Sleep,,"2025-09-14, 19:50","2025-09-15, 06:50",cot,,,cot
Feeding,Bottle,"2025-09-14, 19:20","2025-09-14, 19:40","230ml, formula",,,230
Feeding,Bottle,"2025-09-14, 15:50","2025-09-14, 16:10","60ml, formula",,,60
Feeding,Bottle,"2025-09-14, 12:40","2025-09-14, 12:50","160ml, formula",,,160
Feeding,Bottle,"2025-09-14, 09:00","2025-09-14, 09:10","160ml, formula",,,160
Feeding,Bottle,"2025-09-14, 05:45","2025-09-14, 06:00","210ml, formula",,,210
Feeding,Bottle,"2025-09-13, 19:20","2025-09-13, 19:35","220ml, formula",,,220
Feeding,Bottle,"2025-09-13, 15:55","2025-09-13, 16:00","130ml, formula",,,130
Feeding,Bottle,"2025-09-13, 12:30","2025-09-13, 12:45","200ml, formula",,,200
Feeding,Bottle,"2025-09-13, 09:00","2025-09-13, 09:10","160ml, formula",,,160
Feeding,Bottle,"2025-09-13, 07:05","2025-09-13, 07:15","80ml, formula",,,80
Feeding,Bottle,"2025-09-13, 01:25","2025-09-13, 01:35","140ml, formula",,,140
Feeding,Bottle,"2025-09-12, 19:20","2025-09-12, 19:35","210ml, formula",,,210
Feeding,Bottle,"2025-09-12, 16:25","2025-09-12, 16:40","120ml, formula",,,120
Feeding,Bottle,"2025-09-12, 13:25","2025-09-12, 14:25","160ml, formula",,,160
Feeding,Bottle,"2025-09-12, 10:15","2025-09-12, 10:45","130ml, formula",,,130
Feeding,Bottle,"2025-09-12, 07:00","2025-09-12, 07:10","110ml, formula",,,110
Feeding,Bottle,"2025-09-12, 02:05","2025-09-12, 02:20","140ml, formula",,,140
Feeding,Bottle,"2025-09-11, 19:30","2025-09-11, 19:54","210ml, formula",,,210
Feeding,Bottle,"2025-09-11, 17:20","2025-09-11, 17:50","120ml, formula",,,120
Feeding,Bottle,"2025-09-11, 13:45","2025-09-11, 14:20","140ml, formula",,,140
Feeding,Bottle,"2025-09-11, 10:15","2025-09-11, 10:45","90ml, formula",,,90
Feeding,Bottle,"2025-09-11, 07:35","2025-09-11, 07:45","90ml, formula",,,90
Feeding,Bottle,"2025-09-11, 02:35","2025-09-11, 02:45","120ml, formula",,,120
Feeding,Bottle,"2025-09-10, 18:30","2025-09-10, 18:45","230ml, formula",,,230
Feeding,Bottle,"2025-09-10, 16:20","2025-09-10, 16:25","130ml, formula",,,130
Feeding,Bottle,"2025-09-10, 12:35","2025-09-10, 12:50","120ml, formula",,,120
Feeding,Bottle,"2025-09-10, 09:05","2025-09-10, 09:20","110ml, formula",,,110
Feeding,Bottle,"2025-09-10, 05:45","2025-09-10, 06:00","170ml, formula",,,170
Feeding,Bottle,"2025-09-09, 18:25","2025-09-09, 18:35","160ml, formula",,,160
Feeding,Bottle,"2025-09-09, 14:20","2025-09-09, 14:30","200ml, formula",,,200
Feeding,Bottle,"2025-09-09, 10:00","2025-09-09, 10:15","160ml, formula",,,160
Feeding,Bottle,"2025-09-09, 06:25","2025-09-09, 06:55","100ml, formula",,,100
Feeding,Bottle,"2025-09-08, 21:25","2025-09-08, 21:35","120ml, formula",,,120
Feeding,Bottle,"2025-09-08, 18:20","2025-09-08, 18:30","160ml, formula",,,160
Feeding,Bottle,"2025-09-08, 14:30","2025-09-08, 14:45","130ml, formula",,,130
Feeding,Bottle,"2025-09-08, 11:45","2025-09-08, 12:00","80ml, formula",,,80
Feeding,Bottle,"2025-09-08, 10:45","2025-09-08, 10:50","25ml, formula",,,25
Feeding,Bottle,"2025-09-08, 05:45","2025-09-08, 06:00","200ml, formula",,,200
Feeding,Bottle,"2025-09-07, 23:00","2025-09-07, 23:10","130ml, formula",,,130
Feeding,Bottle,"2025-09-07, 18:20","2025-09-07, 18:30","165ml, formula",,,165
Feeding,Bottle,"2025-09-07, 15:40","2025-09-07, 16:00","50ml, formula",,,50
Feeding,Bottle,"2025-09-07, 11:45","2025-09-07, 12:00","150ml, formula",,,150
Feeding,Bottle,"2025-09-07, 09:10","2025-09-07, 09:40","150ml, formula",,,150
Feeding,Bottle,"2025-09-07, 05:40","2025-09-07, 06:10","160ml, formula",,,160
Feeding,Bottle,"2025-09-06, 23:35","2025-09-06, 23:50","110ml, formula",,,110
Feeding,Bottle,"2025-09-06, 18:20","2025-09-06, 18:40","230ml, formula",,,230
Feeding,Bottle,"2025-09-06, 15:10","2025-09-06, 15:20","100ml, formula",,,100
Feeding,Bottle,"2025-09-06, 11:50","2025-09-06, 12:00","145ml, formula",,,145
Feeding,Bottle,"2025-09-06, 08:00","2025-09-06, 08:15","150ml, formula",,,150
Feeding,Bottle,"2025-09-06, 02:50","2025-09-06, 04:50","110ml, formula",,,110
Feeding,Bottle,"2025-09-05, 22:35","2025-09-05, 22:40","125ml, formula",,,125
Feeding,Bottle,"2025-09-05, 18:25","2025-09-05, 18:30","75ml, formula",,,75
Feeding,Bottle,"2025-09-05, 15:45","2025-09-05, 15:50","140ml, formula",,,140
Feeding,Bottle,"2025-09-05, 12:40","2025-09-05, 13:00","90ml, formula",,,90
Feeding,Bottle,"2025-09-05, 08:45","2025-09-05, 08:55","130ml, formula",,,130
